Symbol,"Expiry
Date","Last
Price",Change,"Chge
%","High
Low","Average
Price","Vol - Shares
 								Contracts","Value
(Rs. Lakh)","Open
Interest",Open Int Chg
IDEA,25-May-23,6.65,0.15,2.31%,"6.80
 								6.60",6.69,"1,190,000
 								17",79.61,"9,870,000","-210,000
 -2.08%"
GLENMARK,29-Mar-23,436.45,-2.40,-0.55%,"439.80
 								434.20",436.70,"1,178,850
 								813","5,148.04","4,742,950","-124,700
 -2.56%"
LUPIN,29-Mar-23,663.55,12.15,1.87%,"664.00
 								649.70",657.51,"1,175,550
 								1,383","7,729.36","6,743,050","-193,800
 -2.79%"
PNB,25-May-23,48.65,0.05,0.10%,"49.05
 								48.50",48.75,"1,120,000
 								70",546.00,"2,672,000","512,000
 23.70%"
BALRAMCHIN,29-Mar-23,365.30,-0.85,-0.23%,"371.40
 								363.60",367.14,"1,107,200
 								692","4,064.97","4,942,400","-112,000
 -2.22%"
LICHSGFIN,27-Apr-23,343.95,-3.15,-0.91%,"348.25
 								342.85",345.32,"1,094,000
 								547","3,777.80","2,164,000","716,000
 49.45%"
MFSL,27-Apr-23,651.00,16.95,2.67%,"675.80
 								639.15",657.11,"1,093,300
 								1,682","7,184.18","817,700","586,950
 254.37%"
JINDALSTEL,27-Apr-23,561.55,-2.70,-0.48%,"570.40
 								560.60",564.45,"1,083,750
 								867","6,117.23","7,225,000","472,500
 7.00%"
INDIACEM,27-Apr-23,183.30,1.25,0.69%,"184.50
 								182.00",183.29,"1,026,600
 								354","1,881.66","2,267,800","493,000
 27.78%"
HINDCOPPER,27-Apr-23,99.45,0.10,0.10%,"100.70
 								98.65",99.56,"964,800
 								201",960.55,"2,006,400","302,400
 17.75%"
SRF,29-Mar-23,"2,379.80",26.20,1.11%,"2,389.00
 								2,348.65","2,375.19","949,500
 								2,532","22,552.43","3,301,875","-71,625
 -2.12%"
HINDUNILVR,29-Mar-23,"2,484.20",9.85,0.40%,"2,490.20
 								2,463.30","2,477.12","943,800
 								3,146","23,379.06","9,221,100","-13,200
 -0.14%"
ADANIPORTS,27-Apr-23,662.15,-10.10,-1.50%,"678.40
 								661.80",666.69,"924,375
 								1,479","6,162.72","3,642,500","608,125
 20.04%"
ONGC,27-Apr-23,153.20,0.10,0.07%,"154.00
 								152.10",153.02,"920,150
 								239","1,408.01","1,705,550","277,200
 19.41%"
MCDOWELL-N,29-Mar-23,777.50,5.70,0.74%,"780.45
 								773.70",777.12,"901,250
 								1,442","7,003.79","11,878,750","-186,250
 -1.54%"
MPHASIS,29-Mar-23,"1,810.20",8.00,0.44%,"1,844.95
 								1,801.85","1,815.99","892,100
 								3,244","16,200.45","2,794,000","-1,100
 -0.04%"
AUBANK,27-Apr-23,575.85,1.15,0.20%,"580.50
 								573.40",577.83,"869,000
 								869","5,021.34","2,813,000","475,000
 20.32%"
LAURUSLABS,29-Mar-23,306.00,-0.05,-0.02%,"308.15
 								304.40",306.28,"849,200
 								772","2,600.93","8,760,400","-227,700
 -2.53%"
CONCOR,29-Mar-23,595.25,-1.35,-0.23%,"602.40
 								593.55",597.50,"827,000
 								827","4,941.33","8,359,000","3,000
 0.04%"
TITAN,29-Mar-23,"2,510.45",-8.45,-0.34%,"2,527.60
 								2,500.05","2,512.92","826,500
 								2,204","20,769.28","5,737,125","-140,250
 -2.39%"
TORNTPOWER,29-Mar-23,519.70,-1.55,-0.30%,"522.90
 								516.00",519.80,"826,500
 								551","4,296.15","2,970,000","-21,000
 -0.70%"
CIPLA,27-Apr-23,871.70,1.35,0.16%,"873.50
 								858.90",864.19,"825,500
 								1,270","7,133.89","1,040,650","269,100
 34.88%"
APOLLOTYRE,27-Apr-23,317.50,-2.45,-0.77%,"322.20
 								316.00",319.26,"812,000
 								232","2,592.39","1,095,500","227,500
 26.21%"
PVR,29-Mar-23,"1,555.95",-19.15,-1.22%,"1,582.50
 								1,542.50","1,562.88","802,197
 								1,971","12,537.38","2,271,874","149,776
 7.06%"
CUMMINSIND,29-Mar-23,"1,615.95",-24.55,-1.50%,"1,650.00
 								1,614.20","1,621.89","796,200
 								1,327","12,913.49","3,054,600","-91,800
 -2.92%"
MARICO,29-Mar-23,485.30,2.35,0.49%,"487.25
 								483.00",485.50,"793,200
 								661","3,850.99","8,792,400","-15,600
 -0.18%"
NIFTY,27-Apr-23,"17,275.00",22.85,0.13%,"17,327.90
 								17,237.30","17,277.90","785,550
 								15,711","135,726.54","3,267,750","98,850
 3.12%"
IGL,27-Apr-23,442.30,-1.25,-0.28%,"444.20
 								437.55",440.29,"779,625
 								567","3,432.61","1,153,625","319,000
 38.22%"
EXIDEIND,27-Apr-23,179.35,-0.25,-0.14%,"181.70
 								178.80",180.23,"770,400
 								214","1,388.49","3,060,000","259,200
 9.25%"
BIOCON,29-Mar-23,204.20,2.65,1.31%,"204.90
 								200.85",203.29,"745,200
 								324","1,514.92","37,671,700","-745,200
 -1.94%"
BAJAJFINSV,27-Apr-23,"1,304.35",22.50,1.76%,"1,327.50
 								1,282.25","1,308.83","737,500
 								1,475","9,652.62","1,623,500","125,000
 8.34%"
BAJAJ-AUTO,29-Mar-23,"3,910.20",13.95,0.36%,"3,937.05
 								3,875.70","3,907.39","730,750
 								2,923","28,553.25","1,301,500","-132,000
 -9.21%"
HAL,29-Mar-23,"2,630.10",-38.20,-1.43%,"2,683.50
 								2,622.90","2,647.72","728,700
 								2,429","19,293.94","3,030,300","-48,000
 -1.56%"
IRCTC,29-Mar-23,606.75,-2.80,-0.46%,"612.85
 								606.55",609.90,"725,375
 								829","4,424.06","12,401,375","24,500
 0.20%"
TATACHEM,29-Mar-23,962.90,5.40,0.56%,"969.00
 								954.95",963.05,"719,000
 								1,438","6,924.33","5,193,000","-109,000
 -2.06%"
HCLTECH,27-Apr-23,"1,091.60",-3.75,-0.34%,"1,112.15
 								1,088.40","1,095.16","710,500
 								1,015","7,781.11","2,308,600","190,400
 8.99%"
DELTACORP,27-Apr-23,194.75,-3.25,-1.64%,"199.70
 								194.70",196.63,"708,400
 								253","1,392.93","2,156,000","182,000
 9.22%"
VOLTAS,27-Apr-23,850.55,5.40,0.64%,"854.95
 								841.70",847.71,"705,600
 								1,176","5,981.44","870,600","144,600
 19.92%"
CROMPTON,29-Mar-23,292.55,-0.70,-0.24%,"295.20
 								291.55",293.09,"705,000
 								470","2,066.28","5,637,000","-126,000
 -2.19%"
MGL,29-Mar-23,983.35,-7.55,-0.76%,"996.25
 								979.65",984.85,"704,800
 								881","6,941.22","2,444,000","-70,400
 -2.80%"
SHRIRAMFIN,29-Mar-23,"1,249.05",-13.25,-1.05%,"1,267.50
 								1,246.15","1,256.49","697,200
 								1,162","8,760.25","3,741,000","21,000
 0.56%"
SBICARD,27-Apr-23,724.90,8.15,1.14%,"727.00
 								715.95",721.77,"694,400
 								868","5,011.97","1,372,800","326,400
 31.19%"
CHAMBLFERT,29-Mar-23,270.40,-0.75,-0.28%,"274.40
 								270.40",272.25,"678,000
 								452","1,845.86","4,432,500","-15,000
 -0.34%"
HDFCAMC,29-Mar-23,"1,769.85",2.05,0.12%,"1,782.00
 								1,757.50","1,770.94","673,800
 								2,246","11,932.59","3,042,300","-179,100
 -5.56%"
ICICIPRULI,27-Apr-23,431.50,10.90,2.59%,"434.00
 								422.15",431.29,"672,000
 								448","2,898.27","2,407,500","264,000
 12.32%"
GUJGASLTD,29-Mar-23,497.30,-6.10,-1.21%,"505.40
 								495.80",500.00,"671,250
 								537","3,356.25","3,901,250","-47,500
 -1.20%"
LT,27-Apr-23,"2,220.00",-5.90,-0.27%,"2,255.25
 								2,220.00","2,239.59","668,100
 								2,227","14,962.70","715,500","241,500
 50.95%"
AARTIIND,29-Mar-23,521.10,-3.00,-0.57%,"528.45
 								518.80",521.89,"664,700
 								782","3,469.00","4,011,150","-32,300
 -0.80%"
ITC,25-May-23,380.15,0.05,0.01%,"380.90
 								377.80",379.60,"654,400
 								409","2,484.10","1,049,600","622,400
 145.69%"
ABB,29-Mar-23,"3,308.95",-92.40,-2.72%,"3,416.25
 								3,295.05","3,338.22","646,500
 								2,586","21,581.59","1,373,250","-63,500
 -4.42%"
AUROPHARMA,27-Apr-23,482.80,9.90,2.09%,"483.50
 								470.00",477.73,"643,000
 								643","3,071.80","1,619,000","272,000
 20.19%"
HAVELLS,29-Mar-23,"1,197.00",-8.40,-0.70%,"1,213.70
 								1,193.65","1,200.98","643,000
 								1,286","7,722.30","4,704,500","6,500
 0.14%"
IBULHSGFIN,29-Mar-23,100.60,-0.55,-0.54%,"101.60
 								99.70",100.64,"616,000
 								154",619.94,"44,848,000","-616,000
 -1.35%"
SIEMENS,29-Mar-23,"3,308.90",-15.55,-0.47%,"3,351.80
 								3,284.00","3,307.50","607,750
 								2,210","20,101.33","1,537,250","-144,100
 -8.57%"
ASIANPAINT,29-Mar-23,"2,847.00",0.00,0.00%,"2,862.95
 								2,826.25","2,848.87","593,000
 								2,965","16,893.80","5,930,200","-82,000
 -1.36%"
INDIGO,29-Mar-23,"1,897.45",14.20,0.75%,"1,903.90
 								1,886.95","1,895.58","582,300
 								1,941","11,037.96","3,272,100","-83,400
 -2.49%"
PEL,27-Apr-23,679.75,-7.45,-1.08%,"694.15
 								677.05",685.91,"580,250
 								1,055","3,979.99","1,367,850","231,550
 20.38%"
PIDILITIND,29-Mar-23,"2,380.35",12.55,0.53%,"2,403.90
 								2,370.00","2,385.87","561,250
 								2,245","13,390.70","2,575,000","-66,250
 -2.51%"
CUB,27-Apr-23,130.20,0.55,0.42%,"131.35
 								129.05",130.62,"555,000
 								111",724.94,"1,800,000","100,000
 5.88%"
ACC,29-Mar-23,"1,741.90",8.90,0.51%,"1,753.30
 								1,730.70","1,742.41","553,750
 								2,215","9,648.60","4,645,500","-75,500
 -1.60%"
GODREJPROP,29-Mar-23,"1,087.95",-13.85,-1.26%,"1,110.90
 								1,085.65","1,092.15","550,375
 								1,295","6,010.92","4,226,200","45,475
 1.09%"
HINDPETRO,27-Apr-23,247.20,-0.20,-0.08%,"248.20
 								245.40",246.63,"542,700
 								201","1,338.46","1,420,200","89,100
 6.69%"
M&M,27-Apr-23,"1,176.20",3.35,0.29%,"1,190.00
 								1,171.10","1,180.02","541,800
 								774","6,393.35","1,212,400","182,000
 17.66%"
GRANULES,29-Mar-23,288.50,-0.45,-0.16%,"289.65
 								285.95",287.49,"536,000
 								268","1,540.95","5,932,000","-10,000
 -0.17%"
SBILIFE,27-Apr-23,"1,119.65",11.20,1.01%,"1,134.00
 								1,111.00","1,123.69","535,500
 								714","6,017.36","622,500","93,000
 17.56%"
GNFC,27-Apr-23,540.50,0.50,0.09%,"547.25
 								539.30",542.12,"527,800
 								406","2,861.31","984,100","29,900
 3.13%"
LAURUSLABS,27-Apr-23,308.25,0.30,0.10%,"310.10
 								306.25",308.16,"525,800
 								478","1,620.31","1,260,600","258,500
 25.80%"
METROPOLIS,29-Mar-23,"1,260.05",16.90,1.36%,"1,276.85
 								1,230.00","1,255.73","518,000
 								1,295","6,504.68","843,600","49,200
 6.19%"
LTIM,29-Mar-23,"4,672.75",-9.10,-0.19%,"4,806.60
 								4,655.50","4,731.32","512,850
 								3,419","24,264.57","1,180,950","8,250
 0.70%"
RAMCOCEM,29-Mar-23,732.80,4.60,0.63%,"735.30
 								726.45",731.79,"504,050
 								593","3,688.59","2,051,050","-103,700
 -4.81%"
TATACONSUM,27-Apr-23,715.85,8.75,1.24%,"723.05
 								709.90",718.67,"504,000
 								560","3,622.10","846,000","164,700
 24.17%"
BSOFT,27-Apr-23,274.60,3.80,1.40%,"277.00
 								273.05",275.13,"494,000
 								247","1,359.14","744,000","32,000
 4.49%"
INDHOTEL,27-Apr-23,318.45,-3.00,-0.93%,"322.70
 								315.40",319.52,"490,000
 								245","1,565.65","988,000","156,000
 18.75%"
GAIL,25-May-23,106.90,0.10,0.09%,"109.00
 								104.50",106.66,"484,950
 								53",517.25,"420,900","-54,900
 -11.54%"
JSWSTEEL,27-Apr-23,668.15,-4.35,-0.65%,"677.00
 								665.00",670.43,"484,650
 								359","3,249.24","1,786,050","201,150
 12.69%"
RAIN,27-Apr-23,156.50,0.05,0.03%,"158.35
 								156.30",157.18,"483,000
 								138",759.18,"1,155,000","259,000
 28.91%"
POLYCAB,29-Mar-23,"2,879.35",8.40,0.29%,"2,908.50
 								2,866.05","2,886.51","482,100
 								1,607","13,915.86","1,102,800","-7,500
 -0.68%"
INFY,25-May-23,"1,412.00",-2.00,-0.14%,"1,429.00
 								1,404.10","1,409.92","480,400
 								1,201","6,773.26","738,000","323,600
 78.09%"
TECHM,27-Apr-23,"1,108.50",4.90,0.44%,"1,117.05
 								1,105.00","1,110.62","467,400
 								779","5,191.04","1,045,200","119,400
 12.90%"
GLENMARK,27-Apr-23,439.00,-2.65,-0.60%,"441.85
 								437.00",438.99,"465,450
 								321","2,043.28","638,000","224,750
 54.39%"
LTTS,29-Mar-23,"3,411.05",-17.05,-0.50%,"3,482.00
 								3,401.95","3,443.44","461,600
 								2,308","15,894.92","1,197,200","-24,200
 -1.98%"
SUNPHARMA,27-Apr-23,980.05,15.05,1.56%,"981.50
 								965.70",974.91,"448,000
 								640","4,367.60","926,100","173,600
 23.07%"
PETRONET,27-Apr-23,234.30,-2.25,-0.95%,"237.90
 								233.75",235.52,"444,000
 								148","1,045.71","909,000","63,000
 7.45%"
IRCTC,27-Apr-23,610.05,-2.60,-0.42%,"616.20
 								610.05",613.44,"421,750
 								482","2,587.18","1,393,875","250,250
 21.88%"
ZYDUSLIFE,27-Apr-23,483.65,2.00,0.42%,"485.95
 								478.10",482.45,"419,400
 								233","2,023.40","646,200","84,600
 15.06%"
TATASTEEL,25-May-23,106.35,-0.20,-0.19%,"107.50
 								106.00",106.77,"418,000
 								76",446.30,"2,354,000","137,500
 6.20%"
BAJFINANCE,27-Apr-23,"5,876.45",117.50,2.04%,"5,903.65
 								5,789.65","5,866.33","413,750
 								3,310","24,271.94","630,500","83,375
 15.24%"
LALPATHLAB,29-Mar-23,"1,834.50",45.80,2.56%,"1,856.00
 								1,780.00","1,829.10","409,000
 								1,636","7,481.02","852,500","17,250
 2.07%"
PIIND,29-Mar-23,"2,996.85",39.20,1.33%,"3,040.60
 								2,972.00","3,008.59","406,250
 								1,625","12,222.40","2,168,500","52,000
 2.46%"
ADANIENT,27-Apr-23,"1,825.65",-17.65,-0.96%,"1,864.05
 								1,818.55","1,837.62","406,000
 								1,624","7,460.74","4,519,250","75,250
 1.69%"
TVSMOTOR,27-Apr-23,"1,058.25",1.75,0.17%,"1,080.00
 								1,056.45","1,068.05","397,600
 								568","4,246.57","747,600","163,800
 28.06%"
GODREJCP,27-Apr-23,958.50,7.20,0.76%,"962.00
 								949.00",958.53,"383,000
 								383","3,671.17","479,000","167,000
 53.53%"
BALKRISIND,29-Mar-23,"1,996.20",19.50,0.99%,"2,024.00
 								1,974.25","2,003.38","375,600
 								1,252","7,524.70","1,546,800","-68,700
 -4.25%"
BANKNIFTY,27-Apr-23,"40,315.00",56.30,0.14%,"40,413.80
 								40,195.00","40,304.26","366,725
 								14,669","147,805.80","1,815,500","40,300
 2.27%"
ULTRACEMCO,29-Mar-23,"7,401.90",34.20,0.46%,"7,459.65
 								7,368.05","7,411.45","365,700
 								3,657","27,103.67","1,733,100","-41,700
 -2.35%"
MCX,29-Mar-23,"1,523.40",14.05,0.93%,"1,544.00
 								1,515.05","1,531.09","365,600
 								914","5,597.67","802,800","-21,600
 -2.62%"
ASTRAL,29-Mar-23,"1,350.00",11.85,0.89%,"1,357.25
 								1,333.00","1,350.65","360,761
 								1,312","4,872.62","1,978,130","-86,979
 -4.21%"
TRENT,29-Mar-23,"1,330.25",1.80,0.14%,"1,355.60
 								1,329.55","1,341.80","350,400
 								876","4,701.67","3,235,600","-8,800
 -0.27%"
COFORGE,29-Mar-23,"3,740.30",14.05,0.38%,"3,793.15
 								3,718.95","3,745.52","348,300
 								2,322","13,045.65","717,150","-40,800
 -5.38%"
TCS,27-Apr-23,"3,155.00",15.50,0.49%,"3,167.25
 								3,134.35","3,151.99","347,550
 								1,986","10,954.74","1,533,700","41,125
 2.76%"
BALRAMCHIN,27-Apr-23,366.50,-2.05,-0.56%,"374.25
 								365.80",369.97,"340,800
 								213","1,260.86","1,590,400","36,800
 2.37%"
ESCORTS,29-Mar-23,"1,885.40",-16.75,-0.88%,"1,917.55
 								1,885.35","1,901.16","340,725
 								1,239","6,477.73","1,408,000","-11,550
 -0.81%"
APOLLOHOSP,29-Mar-23,"4,277.95",-8.35,-0.19%,"4,297.25
 								4,215.30","4,259.61","319,125
 								2,553","13,593.48","1,431,500","31,750
 2.27%"
EICHERMOT,29-Mar-23,"2,958.40",9.50,0.32%,"2,982.10
 								2,945.55","2,962.80","314,825
 								1,799","9,327.64","3,068,800","-34,650
 -1.12%"
OBEROIRLTY,29-Mar-23,863.55,-3.20,-0.37%,"874.95
 								861.60",867.66,"312,200
 								446","2,708.83","5,700,100","19,600
 0.35%"
BAJAJ-AUTO,27-Apr-23,"3,917.35",8.15,0.21%,"3,947.70
 								3,887.15","3,916.23","310,500
 								1,242","12,159.89","428,000","119,250
 38.62%"
HEROMOTOCO,29-Mar-23,"2,362.00",0.20,0.01%,"2,380.75
 								2,354.00","2,366.18","309,000
 								1,030","7,311.50","2,795,700","-20,400
 -0.72%"
BANKBARODA,25-May-23,168.85,3.55,2.15%,"169.75
 								165.90",168.56,"304,200
 								52",512.76,"713,700","29,250
 4.27%"
SYNGENE,29-Mar-23,578.05,-1.40,-0.24%,"584.90
 								576.90",580.21,"304,000
 								304","1,763.84","2,083,000","-3,000
 -0.14%"
LUPIN,27-Apr-23,666.90,11.75,1.79%,"667.50
 								653.95",660.53,"302,600
 								356","1,998.76","526,150","117,300
 28.69%"
PERSISTENT,29-Mar-23,"4,502.40",9.55,0.21%,"4,570.00
 								4,485.00","4,519.47","301,350
 								1,722","13,619.42","1,034,425","-25,725
 -2.43%"
MARUTI,29-Mar-23,"8,262.00",10.60,0.13%,"8,305.95
 								8,225.85","8,266.11","295,400
 								2,954","24,418.09","2,117,200","12,900
 0.61%"
SBIN,25-May-23,527.85,-2.15,-0.41%,"533.00
 								527.50",530.32,"291,000
 								194","1,543.23","1,029,000","45,000
 4.57%"
BHARATFORG,27-Apr-23,790.00,3.90,0.50%,"797.55
 								787.10",789.66,"287,000
 								287","2,266.32","538,000","77,000
 16.70%"
ICICIGI,29-Mar-23,"1,086.45",-0.70,-0.06%,"1,094.80
 								1,075.30","1,085.94","284,325
 								669","3,087.60","3,694,950","-2,550
 -0.07%"
DIXON,29-Mar-23,"2,897.35",-13.65,-0.47%,"2,934.95
 								2,872.70","2,901.07","281,375
 								2,251","8,162.89","605,625","5,750
 0.96%"
TORNTPHARM,29-Mar-23,"1,527.95",5.55,0.36%,"1,528.80
 								1,509.40","1,518.81","269,500
 								539","4,093.19","1,715,000","9,500
 0.56%"
MCDOWELL-N,27-Apr-23,783.00,6.35,0.82%,"784.65
 								778.25",782.00,"268,750
 								430","2,101.63","492,500","103,125
 26.48%"
NAUKRI,29-Mar-23,"3,516.35",38.20,1.10%,"3,554.00
 								3,499.60","3,521.26","266,125
 								2,129","9,370.95","1,453,000","-34,250
 -2.30%"
DEEPAKNTR,29-Mar-23,"1,808.75",4.40,0.24%,"1,826.85
 								1,801.55","1,816.22","265,500
 								1,062","4,822.06","1,693,500","-19,250
 -1.12%"
DALBHARAT,29-Mar-23,"1,841.50",14.75,0.81%,"1,853.00
 								1,823.95","1,840.23","263,500
 								527","4,849.01","1,804,000","-58,500
 -3.14%"
DABUR,27-Apr-23,543.40,6.20,1.15%,"546.00
 								535.90",541.78,"258,750
 								207","1,401.86","463,750","32,500
 7.54%"
CONCOR,27-Apr-23,600.05,-0.20,-0.03%,"606.45
 								597.00",600.50,"258,000
 								258","1,549.29","549,000","121,000
 28.27%"
MOTHERSON,25-May-23,66.55,-0.45,-0.67%,"67.50
 								66.25",66.81,"249,750
 								37",166.86,"1,134,000","114,750
 11.26%"
INTELLECT,29-Mar-23,411.10,0.40,0.10%,"418.65
 								409.15",413.21,"249,000
 								249","1,028.89","4,037,000","0
 0.00%"
AARTIIND,27-Apr-23,524.00,-2.50,-0.47%,"530.00
 								521.40",524.23,"245,650
 								289","1,287.77","462,400","87,550
 23.36%"
BRITANNIA,29-Mar-23,"4,248.75",-35.40,-0.83%,"4,280.90
 								4,243.80","4,257.16","241,800
 								1,209","10,293.81","1,329,200","57,800
 4.55%"
COROMANDEL,29-Mar-23,868.20,4.60,0.53%,"874.15
 								861.95",869.13,"240,100
 								343","2,086.78","1,591,800","-21,000
 -1.30%"
SAIL,25-May-23,85.30,-2.15,-2.46%,"87.45
 								85.00",86.21,"240,000
 								30",206.90,"568,000","88,000
 18.33%"
WIPRO,25-May-23,371.50,-0.55,-0.15%,"374.70
 								370.85",371.71,"240,000
 								160",892.10,"568,500","45,000
 8.60%"
TATAPOWER,25-May-23,204.10,-1.70,-0.83%,"206.40
 								204.00",204.98,"239,625
 								71",491.18,"722,250","145,125
 25.15%"
DRREDDY,29-Mar-23,"4,481.00",40.80,0.92%,"4,486.95
 								4,428.70","4,461.37","238,250
 								1,906","10,629.21","2,303,000","-18,000
 -0.78%"
CHAMBLFERT,27-Apr-23,272.60,-0.20,-0.07%,"276.35
 								272.30",274.00,"237,000
 								158",649.38,"799,500","102,000
 14.62%"
ICICIBANK,25-May-23,868.30,5.75,0.67%,"870.30
 								860.00",864.55,"236,600
 								338","2,045.53","656,600","142,800
 27.79%"
NIFTY,25-May-23,"17,340.80",24.35,0.14%,"17,389.65
 								17,301.20","17,339.09","233,350
 								4,667","40,460.77","1,142,750","32,550
 2.93%"
HDFCAMC,27-Apr-23,"1,779.20",1.35,0.08%,"1,792.40
 								1,768.75","1,782.30","233,100
 								777","4,154.54","414,900","83,400
 25.16%"
BHEL,25-May-23,75.25,-1.95,-2.53%,"77.40
 								75.25",75.90,"231,000
 								22",175.33,"766,500","115,500
 17.74%"
DIVISLAB,29-Mar-23,"2,799.00",17.05,0.61%,"2,806.10
 								2,783.45","2,794.66","230,400
 								1,536","6,438.90","2,980,350","-11,550
 -0.39%"
SIEMENS,27-Apr-23,"3,323.00",-20.25,-0.61%,"3,366.00
 								3,299.25","3,327.36","230,175
 								837","7,658.75","196,350","60,225
 44.24%"
GODREJPROP,27-Apr-23,"1,094.00",-14.80,-1.33%,"1,118.15
 								1,093.00","1,099.26","229,075
 								539","2,518.13","355,725","119,850
 50.81%"
INDIAMART,29-Mar-23,"5,050.00",-70.80,-1.38%,"5,195.35
 								5,033.00","5,089.89","228,300
 								1,522","11,620.22","344,100","-24,300
 -6.60%"
PVR,27-Apr-23,"1,558.50",-22.25,-1.41%,"1,589.85
 								1,548.25","1,572.52","222,629
 								547","3,500.89","358,974","87,505
 32.23%"
TATACHEM,27-Apr-23,968.40,4.95,0.51%,"975.00
 								961.35",969.11,"222,500
 								445","2,156.27","470,500","107,000
 29.44%"
TATACOMM,29-Mar-23,"1,205.05",-10.95,-0.90%,"1,221.80
 								1,204.35","1,212.27","218,500
 								437","2,648.81","1,957,000","-15,000
 -0.76%"
HINDUNILVR,27-Apr-23,"2,498.55",9.10,0.37%,"2,504.75
 								2,478.10","2,491.95","216,900
 								723","5,405.04","596,700","54,000
 9.95%"
SUNTV,27-Apr-23,435.85,1.55,0.36%,"442.00
 								432.60",437.09,"211,500
 								141",924.45,"376,500","28,500
 8.19%"
IDFC,25-May-23,81.85,1.70,2.12%,"82.70
 								80.50",81.90,"200,000
 								20",163.80,"250,000","100,000
 66.67%"
ABB,27-Apr-23,"3,309.20",-97.25,-2.85%,"3,417.10
 								3,300.00","3,338.59","199,250
 								797","6,652.14","258,750","85,250
 49.14%"
GUJGASLTD,27-Apr-23,500.40,-5.55,-1.10%,"508.90
 								498.45",502.17,"196,250
 								157",985.51,"430,000","73,750
 20.70%"
SRF,27-Apr-23,"2,392.00",24.85,1.05%,"2,402.40
 								2,364.95","2,390.92","194,250
 								518","4,644.36","219,000","63,375
 40.72%"
JKCEMENT,29-Mar-23,"2,851.60",29.90,1.06%,"2,888.00
 								2,818.20","2,855.21","192,750
 								771","5,503.42","445,750","50,500
 12.78%"
BATAINDIA,29-Mar-23,"1,413.35",1.35,0.10%,"1,421.00
 								1,409.05","1,415.10","190,575
 								693","2,696.83","2,854,500","-33,825
 -1.17%"
LTTS,27-Apr-23,"3,368.95",-25.45,-0.75%,"3,442.05
 								3,360.65","3,401.31","184,400
 								922","6,272.02","320,000","50,000
 18.52%"
INDUSINDBK,25-May-23,"1,045.45",6.95,0.67%,"1,058.30
 								1,041.40","1,052.90","183,150
 								407","1,928.39","215,100","112,050
 108.73%"
GMRINFRA,25-May-23,40.20,-0.55,-1.35%,"40.65
 								40.20",40.40,"180,000
 								8",72.72,"1,012,500","-67,500
 -6.25%"
CHOLAFIN,27-Apr-23,755.70,-6.20,-0.81%,"766.80
 								752.65",760.70,"178,750
 								143","1,359.75","227,500","73,750
 47.97%"
RAMCOCEM,27-Apr-23,732.65,5.40,0.74%,"733.60
 								724.85",729.59,"176,800
 								208","1,289.92","667,250","56,950
 9.33%"
CUMMINSIND,27-Apr-23,"1,621.75",-21.60,-1.31%,"1,652.10
 								1,619.00","1,626.81","174,000
 								290","2,830.65","378,000","42,000
 12.50%"
HAL,27-Apr-23,"2,648.00",-35.75,-1.33%,"2,698.60
 								2,642.00","2,664.60","173,100
 								577","4,612.42","453,900","68,400
 17.74%"
MARICO,27-Apr-23,488.30,2.75,0.57%,"489.60
 								485.00",487.49,"171,600
 								143",836.53,"297,600","33,600
 12.73%"
COLPAL,29-Mar-23,"1,505.00",5.35,0.36%,"1,511.00
 								1,500.10","1,506.45","171,500
 								490","2,583.56","1,679,650","-24,850
 -1.46%"
IPCALAB,29-Mar-23,786.70,4.50,0.58%,"788.00
 								779.25",784.05,"170,950
 								263","1,340.33","2,181,400","-1,950
 -0.09%"
ASIANPAINT,27-Apr-23,"2,864.50",-0.05,-0.00%,"2,879.00
 								2,844.00","2,865.08","170,600
 								853","4,887.83","386,400","54,400
 16.39%"
MPHASIS,27-Apr-23,"1,811.00",2.45,0.14%,"1,848.00
 								1,807.20","1,822.10","169,125
 								615","3,081.63","306,350","37,675
 14.02%"
PIDILITIND,27-Apr-23,"2,393.95",11.75,0.49%,"2,415.30
 								2,382.00","2,397.48","168,750
 								675","4,045.75","230,500","69,000
 42.72%"
ASHOKLEY,25-May-23,140.60,2.70,1.96%,"141.00
 								138.85",140.14,"165,000
 								33",231.23,"280,000","-55,000
 -16.42%"
CANFINHOME,27-Apr-23,552.70,15.45,2.88%,"554.15
 								539.80",548.68,"156,975
 								161",861.29,"221,325","29,250
 15.23%"
LTIM,27-Apr-23,"4,694.00",-13.95,-0.30%,"4,831.10
 								4,680.00","4,760.46","154,500
 								1,030","7,354.91","187,500","55,650
 42.21%"
UBL,29-Mar-23,"1,445.10",4.20,0.29%,"1,454.60
 								1,436.15","1,445.58","150,800
 								377","2,179.93","1,137,600","-18,000
 -1.56%"
ALKEM,29-Mar-23,"3,217.45",87.60,2.80%,"3,225.35
 								3,122.90","3,184.06","150,000
 								750","4,776.09","425,400","-25,400
 -5.63%"
WHIRLPOOL,29-Mar-23,"1,352.05",9.25,0.69%,"1,354.95
 								1,340.05","1,350.44","149,100
 								426","2,013.51","820,750","13,650
 1.69%"
INDIGO,27-Apr-23,"1,910.00",19.75,1.04%,"1,913.60
 								1,898.75","1,906.44","138,000
 								460","2,630.89","211,800","43,800
 26.07%"
MGL,27-Apr-23,987.40,-8.35,-0.84%,"995.50
 								984.00",989.09,"136,800
 								171","1,353.08","148,800","5,600
 3.91%"
